age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
30 to 39 years-old,Non-binary,Somewhat,Very Closely,"Yes, two doses",Positive,White,8,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Non-binary,Very Closely,Very Closely,"Yes, two doses",Positive,Other,4,Health,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,4,Management,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,7,Sales and service,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",15,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,16,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,10,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,28,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,6,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Not at all,"Yes, one dose",Positive,White,24,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Positive,Asian,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Asian,35,Management,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Not at all,"Yes, one dose",Negative,Middle Eastern,24,Natural and applied sciences,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Other,10,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Indigenous,8,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,2,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Positive,White,35,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,2,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,Asian,2,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,7,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,35,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,2,"Trades, transport and equipment operators",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,5,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,4,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,31,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Asian,36,Sales and service,Do Not Work from Home,"Less than $30,000",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,White,5,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,White,5,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,5,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",50,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Middle Eastern,40,Sales and service,Work from Home Only,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,White,8,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,6,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,7,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,Middle Eastern,28,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Middle Eastern,25,Business,Hybrid,"Less than $30,000",Some College
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,"African, Caribbean, or Black ",80,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,30,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,Indigenous,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,18,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",20,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,25,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Negative,Middle Eastern,26,Natural resources and agriculture,Work from Home Only,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,White,6,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,40,Health,Do Not Work from Home,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,35,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,Asian,10,Health,Work from Home Only,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,16,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,16,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,6,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Negative,White,32,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,Other,20,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Other,20,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,20,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,37.5,Health,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Somewhat,No,Negative,White,30,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,38,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,35,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,25,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Positive,White,37.5,Business,Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,Other,40,Health,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,35,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,37.5,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,35,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,3,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,5,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,10,"art, culture, recreation and sport",Work from Home Only,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,10,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,Health,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,Sales and service,Work from Home Only,"Less than $30,000",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,38,Health,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,3,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,5,"art, culture, recreation and sport",Work from Home Only,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,3,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,White,37.5,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
